Ticker,Weight
AAPL,0.023917
ADBE,0.028897
FI,0.017829
MSFT,0.018756
XLK,0.059559
HUM,0.014507
MRK,0.017542
UNH,0.014919
XLV,0.035015
JPM,0.019292
KNSL,0.019499
XLF,0.038454
CAT,0.020350
FIDU,0.002905
RTX,0.013506
WM,0.022944
COST,0.030882
MDLZ,0.011091
XLP,0.011359
CMG,0.026837
XLY,0.025522
FANG,0.004551
VDE,0.037268
XOM,0.009004
GOOG,0.014036
XLC,0.017940
CTVA,0.014957
XLB,0.004262
CWEN,0.009804
XLU,0.005010
AMT,0.004891
XLRE,0.005519
AGG,0.002633
JPST,0.108507
TFLO,0.109652
USFR,0.108702
FCASH,0.069700
